index,Year,Country,Spending (2020 USD),Percent of GDP,Percent of Government Spending,Spending per Capita
0,1988,Afghanistan,,,,
1,1989,Afghanistan,,,,
2,1990,Afghanistan,,,,
3,1991,Afghanistan,,,,
4,1992,Afghanistan,,,,
5,1993,Afghanistan,,,,
6,1994,Afghanistan,,,,
7,1995,Afghanistan,,,,
8,1996,Afghanistan,,,,
9,1997,Afghanistan,,,,
10,1998,Afghanistan,,,,
11,1999,Afghanistan,,,,
12,2000,Afghanistan,,,,
13,2001,Afghanistan,,,,
14,2002,Afghanistan,,,,
15,2003,Afghanistan,,,,
16,2004,Afghanistan,194.5548376495928,0.0243125786929856,0.1613433600172502,5.059714379304173
17,2005,Afghanistan,175.1995326434595,0.0199206569856085,0.1268975794546112,4.783939858691587
18,2006,Afghanistan,177.11853483839155,0.0189623399634251,0.1036038171074667,4.969024751996241
19,2007,Afghanistan,272.65082786505366,0.0256626735198568,0.1194840461642905,8.102291955876108
20,2008,Afghanistan,237.61242642107152,0.0233554570193899,0.1116540878760165,8.676596011145854
21,2009,Afghanistan,267.3979618333859,0.0208741255278385,0.0986038937465642,8.87020654412166
22,2010,Afghanistan,285.9422578314135,0.0194583569418811,0.0935459613289024,10.215406445542344
23,2011,Afghanistan,281.25167580328093,0.0182134545354631,0.0830276004557373,10.818043087226108
24,2012,Afghanistan,210.77139774067848,0.0117541612009987,0.04696372864714,7.656473969844421
25,2013,Afghanistan,194.3147572402404,0.0107694976762403,0.0431176435442433,6.730527025512802
26,2014,Afghanistan,237.0083790597,0.0129801287790022,0.0510979266008032,8.03772959263456
27,2015,Afghanistan,189.53921512890616,0.0099457582272364,0.0383314218682084,5.797600245013564
28,2016,Afghanistan,187.7659957328221,0.0095677214095885,0.0368025105196569,5.253322501268479
29,2017,Afghanistan,184.62239811550504,0.0094522679993951,0.0365259208973618,5.273504332278946
30,2018,Afghanistan,201.63893205069675,0.0100674629248273,0.0372485527466577,5.328600252190034
31,2019,Afghanistan,242.32671473217567,0.0111823060279694,0.0427573619654266,5.93648188500546
32,2020,Afghanistan,279.57695492519326,0.0135885692738928,0.0497282537449934,7.1818987598950175
33,2021,Afghanistan,284.5522995176852,,,6.985083168443003
34,1988,Albania,,0.0561731662843362,,
35,1989,Albania,284.22016680828347,0.0516761272357288,,
36,1990,Albania,292.08910301119755,0.0588830071968119,,
37,1991,Albania,206.50610500137063,0.0579127042184832,,
